Anio;Trimestre;Provincia;Accesos por cada 100 hogares;Dia;Mes
2019;1;Tierra Del Fuego;93.37581923;1;2
2019;1;Tucumán;41.63074443;1;2
2018;4;Buenos Aires;64.60284663;1;11
2018;4;Capital Federal;108.27315;1;11
2018;4;Catamarca;32.22534617;1;11
2018;4;Chaco;32.59096088;1;11
2018;4;Chubut;42.6109361;1;11
2018;4;Córdoba;65.08926459;1;11
2018;4;Corrientes;34.56627657;1;11
2018;4;Entre Ríos;54.37477349;1;11
2018;4;Formosa;29.73653916;1;11
2018;4;Jujuy;46.53226639;1;11
2018;4;La Pampa;73.49404828;1;11
2018;4;La Rioja;50.34799392;1;11
2018;4;Mendoza;37.75778385;1;11
2018;4;Misiones;34.45074888;1;11
2018;4;Neuquén;59.06916927;1;11
2018;4;Río Negro;51.86140345;1;11
2018;4;Salta;39.80161007;1;11
2018;4;San Juan;31.89625207;1;11
2018;4;San Luis;67.5504537;1;11
2018;4;Santa Cruz;23.6891941;1;11
2018;4;Santa Fe;65.58706886;1;11
2018;4;Santiago Del Estero;37.40072595;1;11
2018;4;Tierra Del Fuego;93.59257086;1;11
2018;4;Tucumán;41.75796964;1;11
2018;3;Buenos Aires;64.4405676;1;8
2018;3;Capital Federal;108.4459141;1;8
2018;3;Catamarca;32.91594537;1;8
2018;3;Chaco;32.28310083;1;8
2018;3;Chubut;56.39174585;1;8
2018;3;Córdoba;64.24210026;1;8
2018;3;Corrientes;34.24993887;1;8
2018;3;Entre Ríos;50.22201386;1;8
2018;3;Formosa;29.57657343;1;8
2018;3;Jujuy;23.26370014;1;8
2018;3;La Pampa;71.75023652;1;8
2018;3;La Rioja;50.73304318;1;8
2018;3;Mendoza;37.99059727;1;8
2018;3;Misiones;32.10366642;1;8
2018;3;Neuquén;60.48661674;1;8
2018;3;Río Negro;50.54264809;1;8
2018;3;Salta;39.42741342;1;8
2018;3;San Juan;33.0514165;1;8
2018;3;San Luis;52.35311498;1;8
2018;3;Santa Cruz;32.72785029;1;8
2018;3;Santa Fe;63.40961462;1;8
2018;3;Santiago Del Estero;36.24961698;1;8
2018;3;Tierra Del Fuego;92.77191839;1;8
2018;3;Tucumán;41.6810136;1;8
2018;2;Buenos Aires;62.78226651;1;5
2018;2;Capital Federal;106.5349413;1;5
2018;2;Catamarca;32.85750087;1;5
2018;2;Chaco;31.251705;1;5
2018;2;Chubut;54.90230334;1;5
2018;2;Córdoba;63.27436612;1;5
2018;2;Corrientes;33.80975391;1;5
2018;2;Entre Ríos;49.20261187;1;5
2018;2;Formosa;29.43422652;1;5
2018;2;Jujuy;23.43220273;1;5
2018;2;La Pampa;71.04033787;1;5
2018;2;La Rioja;50.97789074;1;5
2018;2;Mendoza;36.97287272;1;5
2018;2;Misiones;31.63090768;1;5
2018;2;Neuquén;60.23679161;1;5
2018;2;Río Negro;50.14789462;1;5
2018;2;Salta;39.9371921;1;5
2018;2;San Juan;32.94664885;1;5
2018;2;San Luis;15.15042449;1;5
2018;2;Santa Cruz;33.33236451;1;5
2018;2;Santa Fe;62.5707924;1;5
2018;2;Santiago Del Estero;35.25646421;1;5
2018;2;Tierra Del Fuego;91.6051963;1;5
2018;2;Tucumán;41.51256317;1;5
2018;1;Buenos Aires;62.62621166;1;2
2018;1;Capital Federal;106.2356717;1;2
2018;1;Catamarca;32.79361614;1;2
2018;1;Chaco;30.82992765;1;2
2018;1;Chubut;53.71560488;1;2
2018;1;Córdoba;63.51716965;1;2
2018;1;Corrientes;32.66346087;1;2
2018;1;Entre Ríos;48.68120242;1;2
2018;1;Formosa;21.40431026;1;2
2018;1;Jujuy;23.12126088;1;2
2018;1;La Pampa;71.75163692;1;2
2018;1;La Rioja;51.44351011;1;2
2018;1;Mendoza;37.0721511;1;2
2018;1;Misiones;30.95673588;1;2
2018;1;Neuquén;61.51739035;1;2
2018;1;Río Negro;49.81686131;1;2
2018;1;Salta;39.77559163;1;2
2018;1;San Juan;32.60917745;1;2
2018;1;San Luis;15.14879035;1;2
2018;1;Santa Cruz;33.5527599;1;2
2018;1;Santa Fe;62.28199844;1;2
2018;1;Santiago Del Estero;34.98826945;1;2
2018;1;Tierra Del Fuego;65.19963702;1;2
2018;1;Tucumán;41.17600939;1;2
2017;4;Buenos Aires;57.60961529;1;11
2017;4;Capital Federal;122.8974242;1;11
2017;4;Catamarca;28.62095009;1;11
2017;4;Chaco;30.80815811;1;11
2017;4;Chubut;51.46309627;1;11
2017;4;Córdoba;63.33262565;1;11
2017;4;Corrientes;32.51511831;1;11
2017;4;Entre Ríos;47.88524529;1;11
2017;4;Formosa;21.27097669;1;11
2017;4;Jujuy;22.74208372;1;11
2017;4;La Pampa;71.04976106;1;11
2017;4;La Rioja;51.56847441;1;11
2017;4;Mendoza;33.32562553;1;11
2017;4;Misiones;31.14218485;1;11
2017;4;Neuquén;61.24232318;1;11
2017;4;Río Negro;49.37562977;1;11
2017;4;Salta;39.79624247;1;11
2017;4;San Juan;30.29992919;1;11
2017;4;San Luis;10.58673107;1;11
2017;4;Santa Cruz;28.91249288;1;11
2017;4;Santa Fe;61.71277122;1;11
2017;4;Santiago Del Estero;29.12638611;1;11
2017;4;Tierra Del Fuego;59.89413596;1;11
2017;4;Tucumán;39.89687352;1;11
2017;3;Buenos Aires;55.6293834;1;8
2017;3;Capital Federal;121.8583259;1;8
2017;3;Catamarca;32.49092568;1;8
2017;3;Chaco;29.97592565;1;8
2017;3;Chubut;46.21537747;1;8
2017;3;Córdoba;62.30700225;1;8
2017;3;Corrientes;32.16543575;1;8
2017;3;Entre Ríos;45.95812167;1;8
2017;3;Formosa;21.35038438;1;8
2017;3;Jujuy;22.645363;1;8
2017;3;La Pampa;69.13993701;1;8
2017;3;La Rioja;51.4652523;1;8
2017;3;Mendoza;35.70493178;1;8
2017;3;Misiones;30.20599093;1;8
2017;3;Neuquén;60.83041311;1;8
2017;3;Río Negro;48.51865894;1;8
2017;3;Salta;39.83970081;1;8
2017;3;San Juan;32.36688936;1;8
2017;3;San Luis;15.47786179;1;8
2017;3;Santa Cruz;33.29182972;1;8
2017;3;Santa Fe;60.90635563;1;8
2017;3;Santiago Del Estero;35.12104488;1;8
2017;3;Tierra Del Fuego;65.74180473;1;8
2017;3;Tucumán;39.69537916;1;8
2017;2;Buenos Aires;56.27214416;1;5
2017;2;Capital Federal;124.0613938;1;5
2017;2;Catamarca;25.97712107;1;5
2017;2;Chaco;29.04552478;1;5
2017;2;Chubut;35.54601118;1;5
