Anio;Trimestre;Provincia;Penetracion;Tecnologia;Dia;Mes;Fecha
2015;3;Córdoba;57.08340379;Internet;1;7;1-7-2015
2015;3;Corrientes;30.16741241;Internet;1;7;1-7-2015
2015;3;Entre Ríos;43.67718164;Internet;1;7;1-7-2015
2015;3;Formosa;18.83675177;Internet;1;7;1-7-2015
2015;3;Jujuy;21.27033335;Internet;1;7;1-7-2015
2015;3;La Pampa;57.96395975;Internet;1;7;1-7-2015
2015;3;La Rioja;17.15112944;Internet;1;7;1-7-2015
2015;3;Mendoza;32.49199583;Internet;1;7;1-7-2015
2015;3;Misiones;28.30634509;Internet;1;7;1-7-2015
2015;3;Neuquén;54.5993149;Internet;1;7;1-7-2015
2015;3;Río Negro;46.38918666;Internet;1;7;1-7-2015
2015;3;Salta;31.17594521;Internet;1;7;1-7-2015
2015;3;San Juan;27.66538566;Internet;1;7;1-7-2015
2015;3;San Luis;9.706503269;Internet;1;7;1-7-2015
2015;3;Santa Cruz;27.60606098;Internet;1;7;1-7-2015
2015;3;Santa Fe;52.14595474;Internet;1;7;1-7-2015
2015;3;Santiago Del Estero;17.11882253;Internet;1;7;1-7-2015
2015;3;Tierra Del Fuego;74.85845784;Internet;1;7;1-7-2015
2015;3;Tucumán;36.61035953;Internet;1;7;1-7-2015
2015;4;Buenos Aires;58.29182183;Internet;1;10;1-10-2015
2015;4;Capital Federal;118.1303632;Internet;1;10;1-10-2015
2015;4;Catamarca;26.23945179;Internet;1;10;1-10-2015
2015;4;Chaco;28.35056624;Internet;1;10;1-10-2015
2015;4;Chubut;36.89017828;Internet;1;10;1-10-2015
2015;4;Córdoba;57.36488177;Internet;1;10;1-10-2015
2015;4;Corrientes;30.33643145;Internet;1;10;1-10-2015
2015;4;Entre Ríos;44.10854807;Internet;1;10;1-10-2015
2015;4;Formosa;19.06549152;Internet;1;10;1-10-2015
2015;4;Jujuy;21.47147379;Internet;1;10;1-10-2015
2015;4;La Pampa;58.7563372;Internet;1;10;1-10-2015
2015;4;La Rioja;17.31577865;Internet;1;10;1-10-2015
2015;4;Mendoza;32.4889525;Internet;1;10;1-10-2015
2015;4;Misiones;28.68665889;Internet;1;10;1-10-2015
2015;4;Neuquén;58.28933777;Internet;1;10;1-10-2015
2015;4;Río Negro;46.43948111;Internet;1;10;1-10-2015
2015;4;Salta;31.59349265;Internet;1;10;1-10-2015
2015;4;San Juan;27.66485394;Internet;1;10;1-10-2015
2015;4;San Luis;9.705768985;Internet;1;10;1-10-2015
2015;4;Santa Cruz;27.74476907;Internet;1;10;1-10-2015
2015;4;Santa Fe;52.60808979;Internet;1;10;1-10-2015
2015;4;Santiago Del Estero;17.00497804;Internet;1;10;1-10-2015
2015;4;Tierra Del Fuego;66.46220434;Internet;1;10;1-10-2015
2015;4;Tucumán;37.06217328;Internet;1;10;1-10-2015
2016;1;Buenos Aires;57.33590782;Internet;1;1;1-1-2016
2016;1;Capital Federal;115.1600589;Internet;1;1;1-1-2016
2016;1;Catamarca;25.91021798;Internet;1;1;1-1-2016
2016;1;Chaco;28.07514645;Internet;1;1;1-1-2016
2016;1;Chubut;36.09270554;Internet;1;1;1-1-2016
2016;1;Córdoba;55.28309278;Internet;1;1;1-1-2016
2016;1;Corrientes;30.080785;Internet;1;1;1-1-2016
2016;1;Entre Ríos;43.84596814;Internet;1;1;1-1-2016
2016;1;Formosa;19.04187837;Internet;1;1;1-1-2016
2016;1;Jujuy;21.41001129;Internet;1;1;1-1-2016
2016;1;La Pampa;57.84086866;Internet;1;1;1-1-2016
2016;1;La Rioja;16.83351837;Internet;1;1;1-1-2016
2016;1;Mendoza;32.12333889;Internet;1;1;1-1-2016
2016;1;Misiones;28.36765259;Internet;1;1;1-1-2016
2016;1;Neuquén;55.753937;Internet;1;1;1-1-2016
2016;1;Río Negro;45.83512639;Internet;1;1;1-1-2016
2016;1;Salta;31.31554597;Internet;1;1;1-1-2016
2016;1;San Juan;27.33079411;Internet;1;1;1-1-2016
2016;1;San Luis;9.586346283;Internet;1;1;1-1-2016
2016;1;Santa Cruz;26.86586252;Internet;1;1;1-1-2016
2016;1;Santa Fe;51.27734085;Internet;1;1;1-1-2016
2016;1;Santiago Del Estero;16.20574921;Internet;1;1;1-1-2016
2016;1;Tierra Del Fuego;65.83304163;Internet;1;1;1-1-2016
2016;1;Tucumán;36.72477137;Internet;1;1;1-1-2016
2016;2;Buenos Aires;59.33852679;Internet;1;4;1-4-2016
2016;2;Capital Federal;120.039535;Internet;1;4;1-4-2016
2016;2;Catamarca;26.07418806;Internet;1;4;1-4-2016
2016;2;Chaco;28.59355056;Internet;1;4;1-4-2016
2016;2;Chubut;36.12438566;Internet;1;4;1-4-2016
2016;2;Córdoba;57.54798053;Internet;1;4;1-4-2016
